Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_10,EMA_50,MACD,MACD_Signal,MACD_Hist,RSI,Upper_Band,Middle_Band,Lower_Band,Momentum,Stoch_K,Stoch_D,Williams_%R,OBV,ATR,Returns,Volatility_5d,Volatility_10d,Lag1_Close,Lag1_Volume
2020-12-28,908.35888671875,915.0243362502358,904.7314189530316,909.900545527166,17221499,897.4742267281601,911.4662048101354,895.9226532053486,916.2619669656235,-4.933012364189608,-5.9091527848869205,0.9761404206973125,52.692431828956465,921.7833424104441,895.9711008394013,870.1588592683585,-2.8565470223434204,57.99358317603215,54.8076960798764,-17.12719393394043,-337721490.0,28.439644206636252,0.030662637603114273,0.023558211577214425,0.01619026118957411,882.8306298588741,20776988.0
2020-12-29,902.3508911132812,912.4397367118077,898.9501027379986,910.943413813905,18611939,897.5218399137668,909.5980688015178,898.6537005887225,916.0533962537914,-3.4013836090516634,-5.407598949719869,2.0062153406682057,53.020014178998146,923.0132260763929,897.5241049434532,872.0349838105134,0.476131856066786,72.40308799415367,59.28861625064468,-15.868671967746016,-319109551.0,27.371786332862882,0.0011461343680532199,0.022556028478199548,0.016173485638684346,909.900545527166,17221499.0
2020-12-30,904.822021484375,910.1271552061417,895.7760806552021,904.7086818653784,22043630,897.773483129147,907.8315001440425,899.7546062753872,915.6085054934615,-2.6599848981104515,-4.858076139397985,2.1980912412875337,50.75714191836184,923.0813622787614,898.7687722804536,874.4561822821458,2.516432153802384,81.20381875368442,70.53349664129007,-23.39267783726049,-341153181.0,26.500039677565734,-0.006844258220632171,0.016167441084781943,0.016045789049075533,910.943413813905,18611939.0
2020-12-31,900.1970825195312,912.2583374556028,897.1591008607796,903.9152218564028,18781189,898.0228828286372,906.1492695623036,900.5110818355719,915.1499453508318,-2.1120996991077163,-4.308880851339931,2.196781152232215,50.46196912015415,923.4554007109523,899.5622758686641,875.6691510263759,2.4939969949003853,78.79614451836527,77.4676837554011,-24.35021663989786,-359934370.0,25.68569660022698,-0.0008770337069603507,0.014579811460656403,0.016045984532568103,904.7086818653784,22043630.0
2021-01-01,901.1946411132812,905.5022064134912,898.7007496438623,901.421320358103,10015175,898.1815773095914,904.5169163059107,900.6765797487593,914.6115679001365,-1.8577191105897555,-3.818648503189896,1.9609293926001405,49.48783981962821,923.6994448385051,899.9250196275079,876.1505944165108,1.5869448095423877,77.28907677073973,79.09634668092978,-20.389875210622613,-369949545.0,24.33682232661283,-0.0027589993375463084,0.015047884294664814,0.01606396653972055,903.9152218564028,18781189.0
2021-01-04,902.7136840820312,906.3637598470406,892.352762889534,904.640757614628,24513534,898.8617319958721,903.3171379503018,901.3973393607355,914.2205557320773,-1.3804262858960783,-3.3310040597311326,1.9505777738350543,50.80801662765049,924.1416231772081,900.5167540599489,876.8918849426897,6.801546862806845,79.70933482724824,78.59818537211773,-16.131903667735,-345436011.0,23.599263371676667,0.003571512215005068,0.003957677500870878,0.016067785789611298,901.421320358103,10015175.0
2021-01-05,891.4912109375,899.4262438413816,886.9115106039434,892.80613046262,24123091,897.0026559191878,902.0747351887984,899.8353013792599,913.3807743489613,-1.9348203836791527,-3.0517673245207364,1.1169469408415837,46.044047399626834,923.1513877283387,901.1606231058425,879.1698584833464,-18.590760766843005,77.23134869089633,78.07658676296141,-31.78417504895361,-369559102.0,23.17997648874866,-0.013082129068796022,0.006308638027520028,0.015763401846953438,904.640757614628,24513534.0
2021-01-06,867.9808349609375,891.4458559107388,863.8546128646693,891.4005200596658,46401468,897.7689530777768,900.8409492512474,898.3017047756973,912.5188035925183,-2.4592539638454127,-2.9332646523856716,0.47401068854025885,45.49838037589167,923.0447015662401,901.2683121726252,879.4919227790103,7.662971585890546,72.81357014681204,76.58475122165218,-33.643210842875476,-415960570.0,23.59222942512023,-0.001574373601384016,0.006152560678355675,0.012234193780648911,892.80613046262,24123091.0
2021-01-07,866.5751953125,881.9238397966232,863.8546244352824,870.814757093236,32325918,897.3381978509981,899.8034991169442,893.3040779243407,910.883350788625,-4.484278413276684,-3.243467404563874,-1.24081100871281,38.333354954530236,924.1966673769729,899.2403387632828,874.2840101495927,-4.307552267787628,57.90101078177858,69.31530987316229,-60.869581762835395,-448286488.0,23.87463415363903,-0.023093730038492577,0.010658680357821151,0.014112189130969427,891.4005200596658,46401468.0
2021-01-08,876.800048828125,878.9311936650147,867.0059456976594,869.6811807226603,27540187,896.0232529373767,898.6808032846898,889.0090057058534,909.2675794134891,-6.110160887113125,-3.816806101073724,-2.2933547860394006,37.9786802889428,923.6279632406854,896.8915671838847,870.155171127084,-13.149449136213775,47.706125767439524,59.47356889867668,-62.368830091970764,-475826675.0,23.02110656890448,-0.0013017422607300988,0.010835343848515025,0.01373600135068294,870.814757093236,32325918.0
