Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2021-01-01,1534.7293701171875,1548.9088521811198,1532.1199319268267,1538.1757661646343,1003018
2021-01-04,1527.1474609375,1543.0008598995055,1514.44500480245,1542.0161752409863,1383979
2021-01-05,1546.89013671875,1552.6997995700108,1517.8912249707091,1521.3376208756054,1351709
2021-01-06,1548.5147705078125,1596.5181383281183,1537.9294124756425,1553.8320906757483,3312171
2021-01-07,1518.7281494140625,1545.954700504498,1511.4907422129966,1545.954700504498,2820445
2021-01-08,1524.8824462890625,1531.479904791538,1498.1975194407185,1524.1932151951205,3478504
2021-01-11,1539.9482421875,1547.924163263401,1522.0269106704861,1536.1079482766575,1425529
2021-01-12,1503.711669921875,1536.895609560179,1500.6591720241795,1536.1078138830183,2550741
2021-01-13,1482.7381591796875,1512.475586830026,1472.103517129485,1506.5674790689711,3527208
2021-01-14,1467.1307373046875,1494.603461040963,1457.3824561537626,1484.9043419984318,2814477
2021-01-15,1454.6253662109375,1485.889103139147,1448.7665407566637,1467.1308129019171,1725346
2021-01-18,1480.5225830078125,1485.8890660141744,1437.6395204643438,1444.5323126857481,2302268
2021-01-19,1496.6219482421875,1500.6591305243162,1478.0113877408126,1494.7510237112283,2279346
2021-01-20,1507.8475341796875,1517.398926454094,1496.6221060113235,1496.6221060113235,1838240
2021-01-21,1494.061767578125,1526.113174380541,1488.8921742034704,1509.6197098042617,1558030
2021-01-22,1468.361572265625,1511.1953507561345,1464.225945181325,1498.6899048863327,1364197
2021-01-25,1476.87890625,1489.6306416349391,1456.102088986602,1481.9993373646796,1604484
2021-01-27,1418.6348876953125,1481.950148082385,1410.068180766761,1481.950148082385,2021747
2021-01-28,1427.8909912109375,1432.174344811187,1393.968657748308,1398.2520113485575,1850239
2021-01-29,1398.547607421875,1446.7478712684672,1393.5749020334852,1433.7008001135873,2435997
